slug,level0:name_en,level0:name_he,level1:name_en,level1:name_he,level2:name_en,level2:name_he
human_situations:health:cancer:thyroid_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Thyroid Cancer,סרטן בלוטות התריס
human_situations:health:cancer:vaginal_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Vaginal Cancer,סרטן הנרתיק
human_situations:health:cancer:vulvar_cancer,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Vulvar Cancer,סרטן הפות
human_situations:health:cancer:wilms_tumor,Human Situations,מצבים ,Health,בריאות,Cancer,סרטן,Wilms Tumor,
human_situations:health:alzheimer_s,Human Situations,מצבים ,Health,בריאות,Alzheimer's,אלצהיימר
human_situations:health:terminal_illness,Human Situations,מצבים ,Health,בריאות,Terminal Illness,מחלה סופנית
human_situations:health:infectious_disease,Human Situations,מצבים ,Health,בריאות,Infectious Disease,מחלה מדבקת
human_situations:health:infectious_disease:hiv_aids,Human Situations,מצבים ,Health,בריאות,Infectious Disease,מחלה מדבקת,HIV/AIDS,איידס / HIV
human_situations:health:neuromuscular_disease,Human Situations,מצבים ,Health,בריאות,Neuromuscular Disease,מחלה עצבית -שרירית
human_situations:health:all_mental_health,Human Situations,מצבים ,Health,בריאות,All Mental Health,בריאות הנפש כללי
human_situations:health:chronic_illness,Human Situations,מצבים ,Health,בריאות,Chronic Illness,מחלה כרונית
human_situations:health:genetic_disorder,Human Situations,מצבים ,Health,בריאות,Genetic Disorder,מחלה גנטית
human_situations:health:diabetes,Human Situations,מצבים ,Health,בריאות,Diabetes,סכרת
human_situations:health:autism,Human Situations,מצבים ,Health,בריאות,Autism,רצף אוטיסטי
human_situations:health:hospitalized,Human Situations,מצבים ,Health,בריאות,Hospitalized,מאושפזת
human_situations:health:alzheimers,Human Situations,מצבים ,Health,בריאות,Alzheimer's,
human_situations:health:seizure_disorder,Human Situations,מצבים ,Health,בריאות,Seizure Disorder,הפרעת התקפים
human_situations:health:substance_dependency,Human Situations,מצבים ,Health,בריאות,Substance Dependency,התמכרות לחומרים אסורים
human_situations:health:mental_illness,Human Situations,מצבים ,Health,בריאות,Mental Illness,מחלת נפש
human_situations:household,Human Situations,מצבים ,Household,מצב משפחתי
human_situations:household:individuals,Human Situations,מצבים ,Household,מצב משפחתי,Individuals,יחידים.ות
human_situations:household:families,Human Situations,מצבים ,Household,מצב משפחתי,Families,משפחות
human_situations:household:families:with_children,Human Situations,מצבים ,Household,מצב משפחתי,Families,משפחות,With Children,עם ילדים
human_situations:household:families:single_parent,Human Situations,מצבים ,Household,מצב משפחתי,Families,משפחות,Single Parent,חד הוריות
human_situations:household:families:divorced,Human Situations,מצבים ,Household,מצב משפחתי,Families,משפחות,Divorced,גירושים
human_situations:household:families:surrogacy,Human Situations,מצבים ,Household,מצב משפחתי,Surrogacy,פונדקאות
human_situations:housing,Human Situations,מצבים ,Housing,דיור
human_situations:housing:home_owners,Human Situations,מצבים ,Housing,דיור,Home Owners,בעלי בתים
human_situations:housing:home_renters,Human Situations,מצבים ,Housing,דיור,Home Renters,משכירים.ות
human_situations:housing:homeless,Human Situations,מצבים ,Housing,דיור,Homeless,חסרי.ות בית
human_situations:housing:near_homeless,Human Situations,מצבים ,Housing,דיור,Near Homeless,כמעט חסרי.ות בית
human_situations:housing:runaways,Human Situations,מצבים ,Housing,דיור,Runaways,נוער רחוב
human_situations:income,Human Situations,מצבים ,Income,הכנסה
human_situations:income:benefit_recipients,Human Situations,מצבים ,Income,הכנסה,Benefit Recipients,נתמכי קצבה
human_situations:income:low_income,Human Situations,מצבים ,Income,הכנסה,Low-Income,הכנסה נמוכה וקשיים כלכליים
human_situations:language,Human Situations,מצבים ,Language,שפות
human_situations:language:hebrew_speaking,Human Situations,מצבים ,Language,שפות,Hebrew Speaking,דוברי עברית
human_situations:language:arabic_speaking,Human Situations,מצבים ,Language,שפות,Arabic Speaking,דוברי ערבית
human_situations:language:english_speaking,Human Situations,מצבים ,Language,שפות,English Speaking,דוברי אנגלית
human_situations:language:russian_speaking,Human Situations,מצבים ,Language,שפות,Russian Speaking,דוברי רוסית
human_situations:language:amharic_speaking,Human Situations,מצבים ,Language,שפות,Amharic Speaking,דוברי אמהרית
human_situations:language:spanish_speaking,Human Situations,מצבים ,Language,שפות,Spanish Speaking,דוברי ספרדית
human_situations:language:french_speaking,Human Situations,מצבים ,Language,שפות,French Speaking,דוברי צרפתית
human_situations:language:limited_hebrew,Human Situations,מצבים ,Language,שפות,Limited Hebrew,עברית מוגבלת 
human_situations:mental_health,Human Situations,מצבים ,Mental Health,בריאות הנפש
human_situations:mental_health:anxiety,Human Situations,מצבים ,Mental Health,בריאות הנפש,Anxiety,חרדה
human_situations:mental_health:bipolar,Human Situations,מצבים ,Mental Health,בריאות הנפש,Bipolar,הפרעה קוטבית
human_situations:mental_health:brain_injury,Human Situations,מצבים ,Mental Health,בריאות הנפש,Brain Injury,פציעת ראש
human_situations:mental_health:depression,Human Situations,מצבים ,Mental Health,בריאות הנפש,Depression,דיכאון
human_situations:mental_health:eating_disorder,Human Situations,מצבים ,Mental Health,בריאות הנפש,Eating Disorder,הפרעות אכילה
human_situations:mental_health:suicidal_thoughts,Human Situations,מצבים ,Mental Health,בריאות הנפש,Suicidal Thoughts,מחשבות אובדניות
human_situations:role,Human Situations,מצבים ,Role,תפקיד
human_situations:role:caregivers,Human Situations,מצבים ,Role,תפקיד,Caregivers,מטפלים.ות
human_situations:role:spouses,Human Situations,מצבים ,Role,תפקיד,Spouses,בני ובנות זוג
human_situations:role:dependents,Human Situations,מצבים ,Role,תפקיד,Dependents,תלויים.ות
human_situations:role:fathers,Human Situations,מצבים ,Role,תפקיד,Fathers,אבות 
human_situations:role:mothers,Human Situations,מצבים ,Role,תפקיד,Mothers,אמהות
human_situations:role:parents,Human Situations,מצבים ,Role,תפקיד,Parents,הורים
human_situations:substance_dependency,Human Situations,מצבים ,Substance Dependency,חומרים ממכרים
human_situations:substance_dependency:alcohol_dependency,Human Situations,מצבים ,Substance Dependency,חומרים ממכרים,Alcohol Dependency,אלכוהול 
human_situations:substance_dependency:dual_diagnosis,Human Situations,מצבים ,Substance Dependency,חומרים ממכרים,Dual Diagnosis,
human_situations:substance_dependency:opioid_dependency,Human Situations,מצבים ,Substance Dependency,חומרים ממכרים,Opioid Dependency,סמים 
human_situations:substance_dependency:smoker,Human Situations,מצבים ,Substance Dependency,חומרים ממכרים,Smoker,עישון
human_situations:survivors,Human Situations,מצבים ,Survivors,ניצולים.ות נפגעים.ות
human_situations:survivors:holocaust_survivors,Human Situations,מצבים ,Survivors,ניצולים.ות נפגעים.ות,Holocaust Survivors,ניצולי שואה
human_situations:survivors:trauma_survivors,Human Situations,מצבים ,Survivors,ניצולים.ות נפגעים.ות,Trauma Survivors,נפגעי.ות טראומה
human_situations:survivors:abuse_or_neglect_survivors,Human Situations,מצבים ,Survivors,ניצולים.ות נפגעים.ות,Abuse or Neglect Survivors,התעללות או הזנחה
human_situations:survivors:burn_survivors,Human Situations,מצבים ,Survivors,ניצולים.ות נפגעים.ות,Burn Survivors,נפגעי.ות כוויה
human_situations:survivors:all_cancer_survivors,Human Situations,מצבים ,Survivors,ניצולים.ות נפגעים.ות,All Cancer Survivors,כל מחלימי הסרטן
human_situations:survivors:childhood_cancer_survivors,Human Situations,מצבים ,Survivors,ניצולים.ות נפגעים.ות,Childhood Cancer Survivors,מחלימי סרטן ילדות
human_situations:survivors:adult_cancer_survivors,Human Situations,מצבים ,Survivors,ניצולים.ות נפגעים.ות,Adult Cancer Survivors,מחלימי סרטן
human_situations:survivors:domestic_violence_survivors,Human Situations,מצבים ,Survivors,ניצולים.ות נפגעים.ות,Domestic Violence Survivors,נפגעי.ות אלימות במשפחה
human_situations:survivors:human_trafficking_survivors,Human Situations,מצבים ,Survivors,ניצולים.ות נפגעים.ות,Human Trafficking Survivors,נפגעי.ות סחר בבני אדם
human_situations:survivors:natural_disaster_survivors,Human Situations,מצבים ,Survivors,ניצולים.ות נפגעים.ות,Natural Disaster Survivors,נפגעי.ות אסון טבע
human_situations:survivors:sexual_assault_survivors,Human Situations,מצבים ,Survivors,ניצולים.ות נפגעים.ות,Sexual Assault Survivors,נפגעי.ות תקיפה מינית 
human_situations:survivors:all_survivors,Human Situations,מצבים ,Survivors,ניצולים.ות נפגעים.ות,All Survivors,כל הניצולים.ות
human_situations:urgency,Human Situations,מצבים ,Urgency,דחיפות
human_situations:urgency:in_crisis,Human Situations,מצבים ,Urgency,דחיפות,In Crisis,במשבר
human_situations:urgency:in_danger,Human Situations,מצבים ,Urgency,דחיפות,In Danger,בסכנה
human_situations:urgency:emergency,Human Situations,מצבים ,Urgency,דחיפות,Emergency,חירום
human_situations:criminal_history,Human Situations,מצבים ,Criminal History,פשיעה
human_situations:criminal_history:ex_offenders,Human Situations,מצבים ,Criminal History,פשיעה,Ex-Offenders,אנשים בעלי עבר פלילי 
human_situations:criminal_history:ex_offenders_youth,Human Situations,מצבים ,Criminal History,פשיעה,Ex-Offenders youth,נוער בעל עבר פלילי
human_situations:criminal_history:prisoners,Human Situations,מצבים ,Criminal History,פשיעה,Prisoners,אסירים
human_situations:gender,Human Situations,מצבים ,Gender,מגדר
human_situations:gender:women,Human Situations,מצבים ,Gender,מגדר,Women,אישה
human_situations:gender:men,Human Situations,מצבים ,Gender,מגדר,Men,גבר
human_situations:gender:transgender,Human Situations,מצבים ,Gender,מגדר,Transgender,טרנסג'נדר
human_situations:sexuality,Human Situations,מצבים ,Sexuality,נטייה מינית
human_situations:sexuality:lgbtq,Human Situations,מצבים ,Sexuality,נטייה מינית,LGBTQ,"להט""ב "
human_situations:sectors,Human Situations,מצבים ,Sectors,מגזרים
human_situations:sectors:ultra_orthodox,Human Situations,מצבים ,Sectors,מגזרים,Ultra Orthodox,חרדים
human_situations:sectors:bedouin,Human Situations,מצבים ,Sectors,מגזרים,Bedouin,בדואים
human_situations:sectors:duruze,Human Situations,מצבים ,Sectors,מגזרים,Duruze,דרוזים
human_situations:sectors:ethiopians,Human Situations,מצבים ,Sectors,מגזרים,Ethiopians,אתיופים
human_situations:sectors:arabs,Human Situations,מצבים ,Sectors,מגזרים,Arabs,ערבים
human_situations:sectors:christians,Human Situations,מצבים ,Sectors,מגזרים,Christians,נוצרים
human_situations:sectors:circassians,Human Situations,מצבים ,Sectors,מגזרים,Circassians,צ'רקסים
